country,c1,c2,u1,u2
Finland,-15.796013,-1.4796777,1.748798,4.669801
Cyprus,-15.266842,-6.841742,4.456763,4.708401
Romania,-15.498542,1.6000469,0.6643433,5.25431
Hungary,-10.401555,-2.1455214,2.9318936,6.258418
Croatia,-18.900757,-7.7902145,4.8590765,4.0343986
Ireland,-16.891352,-7.8051023,4.591008,4.352663
Belgium,-13.695309,-2.1805985,2.4983652,5.218566
Lithuania,-12.803082,-5.559429,4.210809,5.7034535
Denmark,-13.769011,2.5479667,0.6178798,6.250556
Spain,-12.469845,1.4108603,0.3959575,5.8067937
Slovakia,-9.988008,-3.79829,3.4600475,6.3376646
Greece,-17.458351,-6.371194,5.175988,4.537368
Malta,-14.451544,-5.7611485,4.6433764,5.2505193
Germany,-9.019458,0.74409026,2.0737894,6.5327473
Austria,-15.010215,-0.13896108,1.1226224,5.0600777
Luxembourg,-11.490927,3.0747163,1.026412,6.465373
France,-12.253106,-3.4877596,3.56411,5.736835
Estonia,-16.831408,-3.397551,2.7488596,4.2812223
Italy,-13.282962,-6.9458437,4.7458677,5.697085
Sweden,-17.376757,-1.3004616,2.0389,4.2287064
Slovenia,-13.697372,0.71723026,1.0738826,5.662828
