country,Eur Billion Milestone,Eur Billion Milestone,Eur Billion Goal,Eur Billion Aim,Eur Billion Vision,Eur Billion Dream.
Finland,0.15189999341964722,0.1729000061750412,0.1551000028848648,0.18389999866485596,0.17579999566078186,0.16040000319480896
Cyprus,0.15950000286102295,0.1679999977350235,0.164900004863739,0.1746000051498413,0.17409999668598175,0.1589999943971634
Hungary,0.07289999723434448,0.0771000012755394,0.5630999803543091,0.07479999959468842,0.07509999722242355,0.13699999451637268
Croatia,0.1340000033378601,0.07940000295639038,0.11869999766349792,0.11169999837875366,0.4350000023841858,0.12120000272989273
Ireland,0.15639999508857727,0.17069999873638153,0.16249999403953552,0.17339999973773956,0.17520000040531158,0.16179999709129333
Belgium,0.12240000069141388,0.39739999175071716,0.08269999921321869,0.21320000290870667,0.09350000321865082,0.09070000052452087
Lithuania,0.16779999434947968,0.16769999265670776,0.1670999974012375,0.1657000035047531,0.1662999987602234,0.16539999842643738
Denmark,0.1632000058889389,0.16869999468326569,0.16050000488758087,0.17679999768733978,0.16820000112056732,0.16259999573230743
Spain,0.7059999704360962,0.055399999022483826,0.06889999657869339,0.054499998688697815,0.05900000035762787,0.05609999969601631
Slovakia,0.09950000047683716,0.08179999887943268,0.09380000084638596,0.10260000079870224,0.11620000004768372,0.5062000155448914
Greece,0.16449999809265137,0.1761000007390976,0.1607999950647354,0.17669999599456787,0.16949999332427979,0.15240000188350677
Malta,0.17030000686645508,0.20600000023841858,0.1988999992609024,0.12780000269412994,0.1476999968290329,0.14920000731945038
Germany,0.17090000212192535,0.18799999356269836,0.11050000041723251,0.1720000058412552,0.1842000037431717,0.17440000176429749
Austria,0.11299999803304672,0.1688999980688095,0.11379999667406082,0.3122999966144562,0.156700000166893,0.13529999554157257
Luxembourg,0.17599999904632568,0.19480000436306,0.1421000063419342,0.1695999950170517,0.13379999995231628,0.18359999358654022
France,0.2020999938249588,0.17509999871253967,0.15950000286102295,0.15299999713897705,0.16660000383853912,0.14380000531673431
Estonia,0.10790000110864639,0.2312999963760376,0.21629999577999115,0.13169999420642853,0.16110000014305115,0.1517000049352646
Italy,0.16580000519752502,0.16990000009536743,0.16290000081062317,0.1745000034570694,0.1655000001192093,0.16140000522136688
Sweden,0.16869999468326569,0.16930000483989716,0.1639000028371811,0.1704999953508377,0.16689999401569366,0.1606999933719635
Slovenia,0.16380000114440918,0.17249999940395355,0.16300000250339508,0.17159999907016754,0.16910000145435333,0.16009999811649323
